inchikey,chemical,company
Error,['( N) of'],['National Natural Science Foundation of China [Foundation]']
Error,['( iso-)myosmine'],"['National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Natural Science Foundation of Zhejiang Province [Foundation]', 'Initial Scientific Research Foundation, Zhejiang Normal University [University]']"
Error,['((perfluorohexyl)sulfonyl)sulfamic acid'],"['Queensland Health [Unknown]', 'Australian Research Council [Unknown]', 'Strategic Environmental Research and Development Program [Unknown]', 'University of Queensland [University]']"
Error,['(+)- or (-)-MT'],"['National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(+)-CBs'],"['Science and Technology Planning Project of Guangdong Province [Unknown]', 'Basic and Applied Basic Research Foundation of Guangdong Province [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]', 'Guangdong Foundation for Program of Science and Technology Research [Foundation]']"
Error,['(+)-imazamox'],['Not Found [Unknown]']
Error,"['(+)-α-, β-, γ-, and δ-HCH']",['Schweizerischer Nationalfonds zur FÃ¶rderung der Wissenschaftlichen Forschung [Unknown]']
Error,['(+)-α-HBCD'],"['Research Grants Council, University Grants Committee [University]', 'Research Grants Council, University Grants Committee [University]', 'Research Grants Council, University Grants Committee [University]', 'Research Grants Council, University Grants Committee [University]']"
Error,['(+)α-HCH'],"['Not Found [Unknown]', 'Guangxi Key Laboratory of Clean Pulp and Papermaking and Pollution Control [Unknown]', 'Natural Science Foundation of Guangxi Province [Foundation]']"
Error,['(-)-MT'],"['National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(-)-enantiomer of α- and γ-HBCDs'],"[""Ministry of Education of the People's Republic of China [Government]"", ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'National Natural Science Foundation of China [Foundation]']"
Error,['(-)-α'],['Schweizerischer Nationalfonds zur FÃ¶rderung der Wissenschaftlichen Forschung [Unknown]']
Error,['(-)-α-HCH'],['Schweizerischer Nationalfonds zur FÃ¶rderung der Wissenschaftlichen Forschung [Unknown]']
Error,['(-)CAHB'],['U.S. Department of Defense (DoD) Strategic Environmental Research and Development Program (SERDP) [Government]']
Error,['(-)ESI'],"['Division of Chemistry [Unknown]', 'National Science Foundation [Foundation]', 'Linde Center [Unknown]', 'Beckman Institute, California Institute of Technology [University]']"
Error,['(-)α-HCH'],"['Deutscher Akademischer Austauschdienst [Unknown]', 'German-Israeli Foundation for Scientific Research and Development [Foundation]', 'Department of Science and Technology, Ministry of Science and Technology [Government]', 'China Scholarship Council [Unknown]', 'Guangxi Key Laboratory of Clean Pulp and Papermaking and Pollution Control [Unknown]', 'Natural Science Foundation of Guangxi Province [Foundation]']"
Error,"['(1,2-cyclohexylenedinitrilo)-tetraacetic acid']","['Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]']"
Error,"['(1,3-dichloro-2-propyl) phosphate']","['National Medical Research Council [Unknown]', 'Ministry of Education - Singapore [Government]', 'Ministry of Health -Singapore [Government]', 'NTU-Harvard SusNano [Unknown]', 'Please see the attached file. [Unknown]', 'State Key Laboratory of Environmental Chemistry and Ecotoxicology [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Research Center for Eco-Environmental Sciences [Unknown]', 'Eco-Environmental Technology for Peak Carbon Dioxide Emissions and Carbon Neutrality [Unknown]']"
Error,['(137)Cs'],"['Ministry of Education, Culture, Sports, Science, and Technology [Government]', 'Nuclear Regulation Authority, Japan [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Environment and Conservation Fund, Government of Hong Kong [Government]']"
Error,['(18)OPO4'],['Not Found [Unknown]']
Error,['(18ε:15ε)-NO2'],"['Guangdong Academy of Sciences [Unknown]', 'Basic and Applied Basic Research Foundation of Guangdong Province [Foundation]', 'Deutsche Forschungsgemeinschaft [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Guangdong Foundation for Program of Science and Technology Research [Foundation]', 'Guangzhou Basic and Applied Basic Research Foundation [Foundation]']"
Error,['(18ε:15ε)-NO3'],"['Guangdong Academy of Sciences [Unknown]', 'Basic and Applied Basic Research Foundation of Guangdong Province [Foundation]', 'Deutsche Forschungsgemeinschaft [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Guangdong Foundation for Program of Science and Technology Research [Foundation]', 'Guangzhou Basic and Applied Basic Research Foundation [Foundation]']"
Error,['(2+1) e- oxygen'],"[""Ministry of Education of the People's Republic of China [Government]"", 'Science and Technology Commission of Shanghai Municipality [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,"['(2,4-di-tert-butylphenyl) phosphate']","['Tianjin Municipal Science and Technology Bureau [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'the Ministry of Education, China [Government]', 'National Key Research and Development Project of China [Unknown]']"
Error,"['(2,4-di-tert-butylphenyl)pentaerythritol phosphate']","['Sun Yat-sen University [University]', 'National Natural Science Foundation of China [Foundation]', '100 Top Talent Programs of Sun Yat-sen University [University]']"
