inchikey,chemical,company
Error,['((perfluorohexyl)sulfonyl)sulfamic acid'],"['Queensland Health [Government]', 'Australian Research Council [Government]', 'Strategic Environmental Research and Development Program [Unknown]', 'University of Queensland [University]']"
Error,['(-)CAHB'],['U.S. Department of Defense (DoD) Strategic Environmental Research and Development Program (SERDP) [Government]']
Error,"['(1,2-cyclohexylenedinitrilo)-tetraacetic acid']","['Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(2D) metal oxides'],"['Organization Department of the Central Committee of the Communist Party of China [Government]', 'National Natural Science Foundation of China [Foundation]', 'Chinese Academy of Sciences [Unknown]']"
Error,['(5-methylisoxazol-3-yl)-sulfamate'],['HORIZON EUROPE Marie Sklodowska-Curie Actions [Unknown]']
Error,['(BB)-derived carbonaceous aerosols'],"['Schweizerischer Nationalfonds zur F?rderung der Wissenschaftlichen Forschung [Unknown]', 'Division of Atmospheric and Geospace Sciences [Unknown]', 'Office of International Science and Engineering [Unknown]']"
Error,['(Cl-PFAES) and 8:2 Cl-PFAES'],['the National Natural Science Foundation of China [Foundation]']
Error,"['(E)-1,1,2,2,3,3,4,5,6,7,8,8,8-tridecafluorooct-6-ene-1-sulfonic acid']","['Queensland Health [Government]', 'Australian Research Council [Government]', 'Strategic Environmental Research and Development Program [Unknown]', 'University of Queensland [University]']"
Error,['(Fe) oxides'],"['National Natural Science Foundation of China [Foundation]', 'Division of Environmental Biology [Unknown]', 'National Science Foundation [Foundation]']"
Error,"['(Mg,Fe)2SiO4']",['Japan Society for the Promotion of Science [Unknown]']
Error,['(Mn) oxide'],"['National Science Foundation [Foundation]', 'National Research Foundation of Korea [Foundation]', 'Changwon National University [University]']"
Error,['(O-3S)/C ≥ 0'],"['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(Pt-S-O)-Ti'],"['Science and Technology Project of Longyan City [Unknown]', 'Natural Science Foundation of Hubei Province [Foundation]', 'Science Fund for Distinguished Young Scholars of Hubei Province [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Recruitment Program of Global Experts [Unknown]', 'Higher Education Discipline Innovation Project [Unknown]', 'National Engineering Laboratory for Mobile Source Emission Control Technology [Unknown]', 'Knowledge Innovation Program of Wuhan-Shuguang Project [Unknown]']"
Error,['(PuO2)m(citH-k)n(OH)x2m(3+k)n-x'],"['Oak Ridge Institute for Science and Education [Government]', 'Arthur J. Schmitt Foundation [Foundation]', 'U.S. Department of Energy [Government]']"
Error,['(chloro)benzoquinone imines'],"['National Science Foundation Graduate Research Fellowship Program [Foundation]', 'University at Buffalo [University]', 'American Water Works Association [Foundation]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'National Science Foundation [Foundation]', 'TGO Technologies [Company]']"
Error,['(chloro)hydroxyanilines'],"['National Science Foundation Graduate Research Fellowship Program [Foundation]', 'University at Buffalo [University]', 'American Water Works Association [Foundation]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]', 'National Science Foundation [Foundation]', 'TGO Technologies [Company]']"
Error,['(hydr)oxides'],"['National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]']"
Error,['(hydro)cerussite'],['Not Found [Unknown]']
Error,['(nano)goethite'],['National Natural Science Foundation of China [Foundation]']
Error,['(oxyhr)oxide'],"['Department of Science and Technology of Inner Mongolia Autonomous Region [Government]', 'Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]', 'Youth Innovation Promotion Association, Chinese Academy of Sciences [Unknown]']"
Error,['(oxyhr)oxides'],"['Department of Science and Technology of Inner Mongolia Autonomous Region [Government]', 'Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]', 'Youth Innovation Promotion Association, Chinese Academy of Sciences [Unknown]']"
Error,['(oxyhydr)oxide'],"['German Academic Exchange Service [Unknown]', 'European Synchrotron Radiation Facility [Unknown]', 'Helmholtz Recruiting Initiative [Unknown]', 'GFZ Discovery Fund [Unknown]']"
Error,['(photo)-heterotrophic'],"['Agence Nationale de la Recherche [Unknown]', ""Universit? de Pau et des Pays de l'Adour [University]""]"
Error,['(poly)acrylic acid'],['National Natural Science Foundation of China [Foundation]']
Error,['(semi)volatile'],"['Water Research Foundation [Foundation]', 'Division of Chemical, Bioengineering, Environmental, and Transport Systems [Unknown]']"
Error,['*N'],"['China Scholarship Council [Government]', 'National Natural Science Foundation of China [Foundation]']"
Error,['*NO'],"['China Scholarship Council [Government]', 'National Natural Science Foundation of China [Foundation]']"
Error,['*O'],"['National Natural Science Foundation of China [Foundation]', 'National Key Research and Development Program of China [Unknown]', 'National Natural Science Foundation of China [Foundation]', 'Key Research and Development Projects of Shaanxi Province [Unknown]']"
Error,['*O2'],"['National Outstanding Youth Science Fund Project of National Natural Science Foundation of China [Foundation]', 'National Natural Science Foundation of China [Foundation]']"
Error,['*OH'],"['National Key Research and Development Program of China [Unknown]', 'China Postdoctoral Science Foundation [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'Basic Scientific Research Fees of Central Universities [University]']"
