Researcher,Affiliation,Companies
", ",,"['Deutsche Forschungsgemeinschaft [Unknown]', 'Not Found [Unknown]', 'Kadoorie Charitable Foundation [Foundation]', ""Ministry of Science and Technology of the People's Republic of China [Government]"", 'BHF Centre of Research Excellence, Oxford [Unknown]', 'Wellcome Trust [Foundation]', 'National Natural Science Foundation of China [Foundation]', 'National Institute of Environmental Health Sciences [University]', 'NIH Office of the Director [Government]', 'Office of Behavioral and Social Sciences Research [Unknown]', 'U.S. Environmental Protection Agency [Government]', 'JPB Foundation [Foundation]', 'Molecular Phenotyping and Metabolomics Core, Michigan Nutrition and Obesity Center [Unknown]', 'Children?s Environmental Health and Disease Prevention Research Center [Unknown]', 'Lawrence Livermore National Laboratory [Government]', 'National Oceanic and Atmospheric Administration [Unknown]', 'National Institute of General Medical Sciences [University]', 'Division of Behavioral and Cognitive Sciences [Unknown]', 'Schweizerischer Nationalfonds zur F?rderung der Wissenschaftlichen Forschung [Unknown]', 'Ministerio de Ciencia e Innovaci?n [Unknown]', 'H2020 Health [Unknown]', 'Generalitat de Catalunya [Unknown]', 'Ministerie van Onderwijs, Cultuur en Wetenschap [Unknown]', 'Nederlandse Organisatie voor Wetenschappelijk Onderzoek [Unknown]', 'Agencia Estatal de Investigaci?n,Ministerio de Ciencia, Innovaci?n y Universidades [University]']"
"A, Yinglan",Faculty of Geographical Science; Beijing Normal University,"['Natural Science Foundation of Beijing Municipality [Foundation]', 'Fundamental Research Funds for the Central Universities [University]', 'National Natural Science Foundation of China [Foundation]']"
"Aagaard, Kjersti M.","Department of Obstetrics & Gynecology, Division of Maternal Fetal Medicine, Baylor College of Medicine, Houston, Texas 77030, United States","['U.S. Department of the Interior [Government]', 'Institute for Environmental Health Solutions, University of North Carolina at Chapel Hill [University]']"
"Aakko-Saksa, Päivi","VTT Technical Research Centre of Finland Ltd., P.O. Box 1000, 02044 VTT Espoo, Finland","['European Commission [Unknown]', 'Tekes [Unknown]', 'KAUTE-S????ti?? [Unknown]', 'Tampereen Yliopisto [Unknown]', 'Gasum [Unknown]', 'Jenny ja Antti Wihurin Rahasto [Unknown]', 'Academy of Finland [Unknown]', 'Oiltanking Finland Oy [Unknown]', 'KINE Robot Solutions Oy [Unknown]', 'HaminaKotka Satama Oy [Unknown]', 'Neste Oyj [Unknown]', 'AGCO Power [Unknown]', 'Pegasor Oy [Unknown]', 'VG-Shipping [Unknown]', 'Dekati Oy [Unknown]', 'Spectral Engines Oy [Unknown]', 'Dinex Ecocat Oy [Unknown]', 'W??rtsil?? Finland Oy [Unknown]']"
"Aalto, Pasi","Department of Architecture and Technology, Norwegian University of Science and Technology, 7034Trondheim, Norway","['Norges Forskningsr?d [Unknown]', 'Norges Teknisk-Naturvitenskapelige Universitet [University]', 'Japan Educational Exchanges and Services [Unknown]']"
"Aamand, Jens","Department of Geochemistry, Geological Survey of Denmark and Greenland (GEUS), Øster Voldgade 10, 1350 Copenhagen, Denmark",['Innovationsfonden [Government]']
"Aamir, Muhammad","Key Laboratory of Pollution Exposure and Health Intervention, Interdisciplinary Research Academy, Zhejiang Shuren University, Hangzhou 310015, China",['National Natural Science Foundation of China [Foundation]']
"Aars, Jon","Fram Centre, Norwegian Polar Institute, Tromsø 9296, Norway","['Norsk Polarinstitutt [Unknown]', 'World Wildlife Fund [Unknown]', 'Norwegian Ministry of Climate and Environment [Government]', 'Center for Ice, Climate and Environment, Norwegian Polar Institute [Unknown]']"
"Aars, Jon","Norwegian Polar Institute, Fram Centre, NO-9296 Tromsø, Norway","['Fonds de Recherche du Qu?bec - Sant? [Unknown]', 'Norges Forskningsr?d [Unknown]', 'Norsk Polarinstitutt [Unknown]', 'Natural Sciences and Engineering Research Council of Canada [Unknown]', 'World Wildlife Fund [Unknown]', 'Canadian Institutes of Health Research Team Grant [Unknown]']"
"Aas, Wenche","NILU - Norwegian Institute for Air Research, 2007 Kjeller, Norway","['Svenska Forskningsr??det Formas [Unknown]', 'Agence Nationale de la Recherche [Unknown]', 'Bundesministerium f??r Bildung und Forschung [Unknown]', 'Ministerio de Ciencia e Innovaci??n [Unknown]', 'Academy of Finland [Unknown]', 'Naturv??rdsverket [Unknown]', 'BiodivScen ERA-net COFUND [Unknown]']"
