DOI,Title,Authors,Affiliations,Funding Sources,Abstract,Year,URL,Chemicals Mentioned,Chemicals with InChIKey
10.1021/acs.est.1c00106,Anthropogenic-Driven Alterations in Black Carbon Sequestration and the Structure in a Deep Plateau Lake,"Huang, Changchun, Lu, Lingfeng, Li, Yi, He, Yao, Shang, Nana, Bai, Yixin, Yu, Heyu, Huang, Tao, Zhu, A-xing, Yang, Hao, Zhao, Kan, Yu, Yanhong","Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing 210023, China; State Key Laboratory of Lake Science and Environment, Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences, Nanjing 210023, China; Key Laboratory of Virtual Geographic Environment, Ministry of Education, Nanjing Normal University, Nanjing 210023, China; School of Geography Science, Nanjing Normal University, Nanjing 210023, China | Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing 210023, China; School of Geography Science, Nanjing Normal University, Nanjing 210023, China | Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing 210023, China; School of Geography Science, Nanjing Normal University, Nanjing 210023, China | Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing 210023, China; School of Geography Science, Nanjing Normal University, Nanjing 210023, China | Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing 210023, China; School of Geography Science, Nanjing Normal University, Nanjing 210023, China | Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing 210023, China; School of Geography Science, Nanjing Normal University, Nanjing 210023, China | Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing 210023, China; School of Geography Science, Nanjing Normal University, Nanjing 210023, China | Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing 210023, China; School of Geography Science, Nanjing Normal University, Nanjing 210023, China | Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing 210023, China; Key Laboratory of Virtual Geographic Environment, Ministry of Education, Nanjing Normal University, Nanjing 210023, China; Department of Geography, University of Wisconsin, Madison, Wisconsin 53706, United States | Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing 210023, China; School of Geography Science, Nanjing Normal University, Nanjing 210023, China | Jiangsu Center for Collaborative Innovation in Geographical Information Resource Development and Application, Nanjing Normal University, Nanjing 210023, China; School of Geography Science, Nanjing Normal University, Nanjing 210023, China | Yunnan Research Academy of Eco-environmental Science, Kunming 650034, China",National Natural Science Foundation of China,"The continuous flux of organic carbon (OC) from terrestrial ecosystems into inland water is an important component of the global carbon cycle. The buried OC pool in inland water sediments is considerable, and black carbon (BC) is a significant contributor to this OC pool because of the continuous growth in BC emissions. Therefore, determining the effect of BC on total OC burial and variations in the structure of BC during the burial process will contribute significantly to our understanding of lacustrine carbon cycling. This study investigated BC burial and its structural variations in response to anthropogenic drivers using four dated sedimentary cores from a deep plateau lake in China. The BC burial rate rose from 0.96 ± 0.64 g·m-2·y-1 (mean of sedimentary cores pre-1960s) to 4.83 ± 1.25 g·m-2·y-1 (after 2000), which is a 5.48 ± 2.12-fold rise. The increase of char was similar to those of BC. The growth rate of soot was 7.20 ± 4.30 times, which is higher than that of BC and char, increasing from 0.12 ± 0.08 to 0.64 ± 0.23 g·m-2·y-1. There was a decreasing trend in the ratio of char and soot at a mean rate of 62.8 ± 6.46% (excluding core 3) in relation to increased fossil fuel consumption. The contribution of BC to OC burial showed a significant increasing trend from the past to the present, particularly in cores 3 and 4, and the mean contribution of the four cores was 11.78 ± 2.84%. Source tracer results from positive matrix factorization confirmed that the substantial use of fossil fuels has promoted BC burial and altered the BC structure. This has resulted in BC with a higher aromatic content in the lake sediment, which exhibits reduced reactivity and increased stability. The strong correlation between BC and allochthonous total OC indicates that the input pathways of the buried BC in this plateau lake sediment were terrestrial surface processes and not atmospheric deposition.",2021,https://doi.org/10.1021/acs.est.1c00106,lacustrine; carbon,lacustrine (Error); carbon (OKTJSMMVPCPJKN-UHFFFAOYSA-N)
10.1021/acs.est.1c03060,A Commodity Supply Mix for More Regionalized Life Cycle Assessments,"Lathuillière, Michael J., Patouillard, Laure, Margni, Manuele, Ayre, Ben, Löfgren, Pernilla, Ribeiro, Vivian, West, Chris, Gardner, Toby A., Suavet, Clément","Stockholm Environment Institute, Linnégatan 87D, Box 24218, 104 51 Stockholm, Sweden | CIRAIG, Polytechnique Montreal, 3333 Queen Mary Rd suite 310, Montreal, Quebec H3V 1A2, Canada | CIRAIG, Polytechnique Montreal, 3333 Queen Mary Rd suite 310, Montreal, Quebec H3V 1A2, Canada; HES−SO, University of Applied Sciences and Arts Western Switzerland, Institute of Sustainable Energy, School of Engineering, Rue de l’Industrie 23, 1950 Sion, Switzerland | Global Canopy, 3 Frewin Court, Oxford OX1 3HZ, U.K. | Stockholm Environment Institute, Linnégatan 87D, Box 24218, 104 51 Stockholm, Sweden | Stockholm Environment Institute, Linnégatan 87D, Box 24218, 104 51 Stockholm, Sweden | Department of Environment and Geography, Environment Building, Stockholm Environment Institute York, Wentworth Way, University of York, York YO10 5NG, U.K. | Stockholm Environment Institute, Linnégatan 87D, Box 24218, 104 51 Stockholm, Sweden | Stockholm Environment Institute, 400 F Street, Davis, California 95616, United States","Gordon and Betty Moore Foundation; Norway???s International Climate and Forest Initiative; UKRI Global Challenges Research Fund Trade, Development and the Environmental Hub project","Supply chain information is invaluable to further regionalize product life cycle assessments (LCAs), but detailed information linking production and consumption centers is not always available. We introduce the commodity supply mix (CSM) defined as the trade-volume-weighted average representing the combined geographic areas for the production of a commodity exported to a given market with the goal of (1) enhancing the relevance of inventory and impact regionalization and (2) allocating these impacts to specific markets. We apply the CSM to the Brazilian soybean supply chain mapped by Trase to obtain the mix of ecoregions and river basins linked to domestic consumption and exports to China, EU, France, and the rest of the world, before quantifying damage to biodiversity, and water scarcity footprints. The EU had the lowest potential biodiversity damage but the largest water scarcity footprint following respective sourcing patterns in 12 ecoregions and 18 river basins. These results differed from the average impact scores obtained from Brazilian soybean production information alone. The CSM can be derived at different scales (subnationally, internationally) using existing supply chain information and constitutes an additional step toward greater regionalization in LCAs, particularly for impacts with greater spatial variability such as biodiversity and water scarcity.",2021,https://doi.org/10.1021/acs.est.1c03060,No chemicals found,No chemicals found
10.1021/acs.est.0c08671,Response to Comment on “Five Misperceptions Surrounding the Environmental Impacts of Single-Use Plastic”,"Miller, Shelie A.","Center for Sustainable Systems, School for Environment and Sustainability, University of Michigan, 440 Church Street, Ann Arbor, Michigan 48109, United States",Not Found,,2021,https://doi.org/10.1021/acs.est.0c08671,No chemicals found,No chemicals found
10.1021/acs.est.1c01972,Correction to “Gene-Centric Model Approaches for Accurate Prediction of Pesticide Biodegradation in Soils”,"Chavez Rodriguez, Luciana, Ingalls, Brian, Schwarz, Erik, Streck, Thilo, Uksa, Marie, Pagel, Holger", |  |  |  |  | ,Deutsche Forschungsgemeinschaft,,2021,https://doi.org/10.1021/acs.est.1c01972,No chemicals found,No chemicals found
10.1021/acs.est.1c00459,Correction to “Water Table Fluctuations Regulate Hydrogen Peroxide Production and Distribution in Unconfined Aquifers”,"Zhang, Na, Bu, Xiaochuang, Li, Yiming, Zhang, Yanting, Yuan, Songhu, Wen, Zhang, Tong, Man, Lin, Li", |  |  |  |  |  |  | ,Not Found,,2021,https://doi.org/10.1021/acs.est.1c00459,No chemicals found,No chemicals found
10.1021/acs.est.0c05827,Response to Comments on “Urinary Metabolites of Neonicotinoid Insecticides: Levels and Recommendations for Future Biomonitoring Studies in China”,"Song, Shiming, Zhang, Tao, Zhang, Bo, Huang, Yingyan, Guo, Yuankai, He, Yuan, Huang, Xiongfei, Bai, Xueyuan, Kannan, Kurunthachalam","School of Environmental Science and Engineering, Sun Yat-Sen University, Guangzhou 510275, China; Guangdong Provincial Key Laboratory of Environmental Pollution Control and Remediation Technology, Sun Yat-Sen University, Guangzhou 510275, China | School of Environmental Science and Engineering, Sun Yat-Sen University, Guangzhou 510275, China; Guangdong Provincial Key Laboratory of Environmental Pollution Control and Remediation Technology, Sun Yat-Sen University, Guangzhou 510275, China | School of Environmental Science and Engineering, Sun Yat-Sen University, Guangzhou 510275, China | School of Environmental Science and Engineering, Sun Yat-Sen University, Guangzhou 510275, China | School of Chemistry and Environment, Jiaying University, Meizhou 514015, China | School of Environmental Science and Engineering, Sun Yat-Sen University, Guangzhou 510275, China | School of Environmental Science and Engineering, Sun Yat-Sen University, Guangzhou 510275, China | School of Environmental Science and Engineering, Sun Yat-Sen University, Guangzhou 510275, China | Department of Pediatrics, New York University School of Medicine, New York, New York 10016, United States",National Natural Science Foundation of China,,2021,https://doi.org/10.1021/acs.est.0c05827,No chemicals found,No chemicals found
10.1021/esv055i017_1510186,Issue Editorial Masthead,,,Not Found,Not Found,2021,https://doi.org/10.1021/esv055i017_1510186,No chemicals found,No chemicals found
10.1021/acs.est.1c00542,"A Synergistic Platform for Continuous Co-removal of 1,1,1-Trichloroethane, Trichloroethene, and 1,4-Dioxane via Catalytic Dechlorination Followed by Biodegradation","Luo, Yi-Hao, Long, Xiangxing, Wang, Boya, Zhou, Chen, Tang, Youneng, Krajmalnik-Brown, Rosa, Rittmann, Bruce E.","Biodesign Swette Center for Environmental Biotechnology, Arizona State University, Tempe, Arizona 85287 United States | Biodesign Swette Center for Environmental Biotechnology, Arizona State University, Tempe, Arizona 85287 United States; Nanosystems Engineering Research Center for Nanotechnology-Enabled Water Treatment, Arizona State University, Tempe, Arizona 85008, United States | Department of Civil and Environmental Engineering, FAMU-FSU College of Engineering, Florida State University, Tallahassee, Florida 32310, United States | Biodesign Swette Center for Environmental Biotechnology, Arizona State University, Tempe, Arizona 85287 United States | Department of Civil and Environmental Engineering, FAMU-FSU College of Engineering, Florida State University, Tallahassee, Florida 32310, United States | Biodesign Swette Center for Environmental Biotechnology, Arizona State University, Tempe, Arizona 85287 United States | Biodesign Swette Center for Environmental Biotechnology, Arizona State University, Tempe, Arizona 85287 United States",Division of Engineering Education and Centers; U.S. Department of Defense,"Groundwater co-contaminated with 1,4-dioxane, 1,1,1-trichloroethane (TCA), and trichloroethene (TCE) is among the most urgent environmental concerns of the U.S. Department of Defense (DoD), U.S. Environmental Protection Agency (EPA), and industries related to chlorinated solvents. Inspired by the pressing need to remove all three contaminants at many sites, we tested a synergistic platform: catalytic reduction of 1,1,1-TCA and TCE to ethane in a H2-based membrane palladium-film reactor (H2-MPfR), followed by aerobic biodegradation of ethane and 1,4-dioxane in an O2-based membrane biofilm reactor (O2-MBfR). During 130 days of continuous operation, 1,1,1-TCA and TCE were 95-98% reductively dechlorinated to ethane in the H2-MPfR, and ethane served as the endogenous primary electron donor for promoting 98.5% aerobic biodegradation of 1,4-dioxane in the O2-MBfR. In addition, the small concentrations of the chlorinated intermediate from the H2-MPfR, dichloroethane (DCA) and monochloroethane (MCA), were fully biodegraded through aerobic biodegradation in the O2-MBfR. The biofilms in the O2-MBfR were enriched in phylotypes closely related to the genera Pseudonocardia known to biodegrade 1,4-dioxane.",2021,https://doi.org/10.1021/acs.est.1c00542,"monochloroethane; 1,1,1-TCA; DCA; ethane; MCA; O2; trichloroethene; dichloroethane; 1,1,1-trichloroethane; H2; TCE; 1,4-dioxane; H2-MPfR; TCA; palladium","monochloroethane (HRYZWHHZPQKTII-UHFFFAOYSA-N); 1,1,1-TCA (Error); DCA (LUPNKHXLFSSUGS-UHFFFAOYSA-M); ethane (OTMSDBZUPAUEDD-UHFFFAOYSA-N); MCA (QYFRTHZXAGSYGT-UHFFFAOYSA-L); O2 (MYMOFIZGZYHOMD-UHFFFAOYSA-N); trichloroethene (XSTXAVWGXDQKEL-UHFFFAOYSA-N); dichloroethane (SCYULBFZEHDVBN-UHFFFAOYSA-N); 1,1,1-trichloroethane (UOCLXMDMGBRAIB-UHFFFAOYSA-N); H2 (UFHFLCQGNIYNRP-UHFFFAOYSA-N); TCE (XSTXAVWGXDQKEL-UHFFFAOYSA-N); 1,4-dioxane (RYHBNJHYFVUHQT-UHFFFAOYSA-N); H2-MPfR (Error); TCA (YNJBWRMUSHSURL-UHFFFAOYSA-N); palladium (KDLHZDBZIXYQEI-UHFFFAOYSA-N)"
10.1021/acs.est.1c02695,Back to the Future: Decomposability of a Biobased and Biodegradable Plastic in Field Soil Environments and Its Microbiome under Ambient and Future Climates,"Purahong, Witoon, Wahdan, Sara Fareed Mohamed, Heinz, Daniel, Jariyavidyanont, Katalee, Sungkapreecha, Chanita, Tanunchai, Benjawan, Sansupa, Chakriya, Sadubsarn, Dolaya, Alaneed, Razan, Heintz-Buschart, Anna, Schädler, Martin, Geissler, Andreas, Kressler, Joerg, Buscot, François","Department of Soil Ecology, UFZ-Helmholtz Centre for Environmental Research, Theodor-Lieser-Str. 4, Halle (Saale) D-06120, Germany | Department of Soil Ecology, UFZ-Helmholtz Centre for Environmental Research, Theodor-Lieser-Str. 4, Halle (Saale) D-06120, Germany; Department of Botany, Faculty of Science, Suez Canal University, Ismailia 41522, Egypt | Department of Chemistry, Martin Luther University Halle-Wittenberg, Halle (Saale) D-06099, Germany | Center of Engineering Sciences, Martin Luther University Halle-Wittenberg, Halle (Saale) D-06099, Germany | Center of Engineering Sciences, Martin Luther University Halle-Wittenberg, Halle (Saale) D-06099, Germany | Department of Soil Ecology, UFZ-Helmholtz Centre for Environmental Research, Theodor-Lieser-Str. 4, Halle (Saale) D-06120, Germany | Department of Soil Ecology, UFZ-Helmholtz Centre for Environmental Research, Theodor-Lieser-Str. 4, Halle (Saale) D-06120, Germany | Department of Soil Ecology, UFZ-Helmholtz Centre for Environmental Research, Theodor-Lieser-Str. 4, Halle (Saale) D-06120, Germany | Department of Chemistry, Martin Luther University Halle-Wittenberg, Halle (Saale) D-06099, Germany | Department of Soil Ecology, UFZ-Helmholtz Centre for Environmental Research, Theodor-Lieser-Str. 4, Halle (Saale) D-06120, Germany; German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig, Deutscher Platz 5e, Leipzig D-04103, Germany | German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig, Deutscher Platz 5e, Leipzig D-04103, Germany; Department of Community Ecology, UFZ-Helmholtz Centre for Environmental Research, Theodor-Lieser-Str. 4, Halle (Saale) D-06120, Germany | Department of Macromolecular Chemistry and Paper Chemistry, Technical University of Darmstadt, Darmstadt D-64287, Germany | Department of Chemistry, Martin Luther University Halle-Wittenberg, Halle (Saale) D-06099, Germany | Department of Soil Ecology, UFZ-Helmholtz Centre for Environmental Research, Theodor-Lieser-Str. 4, Halle (Saale) D-06120, Germany; German Centre for Integrative Biodiversity Research (iDiv) Halle-Jena-Leipzig, Deutscher Platz 5e, Leipzig D-04103, Germany",Deutsche Forschungsgemeinschaft,"Decomposition by microorganisms of plastics in soils is almost unexplored despite the fact that the majority of plastics released into the environment end up in soils. Here, we investigate the decomposition process and microbiome of one of the most promising biobased and biodegradable plastics, poly(butylene succinate-co-adipate) (PBSA), under field soil conditions under both ambient and future predicted climates (for the time between 2070 and 2100). We show that the gravimetric and molar mass of PBSA is already largely reduced (28-33%) after 328 days under both climates. We provide novel information on the PBSA microbiome encompassing the three domains of life: Archaea, Bacteria, and Eukarya (fungi). We show that PBSA begins to decompose after the increase in relative abundances of aquatic fungi (Tetracladium spp.) and nitrogen-fixing bacteria. The PBSA microbiome is distinct from that of surrounding soils, suggesting that PBSA serves as a new ecological habitat. We conclude that the microbial decomposition process of PBSA in soil is more complex than previously thought by involving interkingdom relationships, especially between bacteria and fungi.",2021,https://doi.org/10.1021/acs.est.1c02695,PBSA; nitrogen; poly(butylene succinate-co-adipate),PBSA (UVCJGUGAGLDPAA-UHFFFAOYSA-N); nitrogen (IJGRMHOSHXDMSA-UHFFFAOYSA-N); poly(butylene succinate-co-adipate) (Error)
10.1021/acs.est.0c06751,How Far Can Life Cycle Assessment Be Simplified? A Protocol to Generate Simple and Accurate Models for the Assessment of Energy Systems and Its Application to Heat Production from Enhanced Geothermal Systems,"Douziech, Mélanie, Ravier, Guillaume, Jolivet, Raphaël, Pérez-López, Paula, Blanc, Isabelle","Centre Observation, Impacts, Energie (O.I.E.), MINES ParisTech, PSL University, 06904 Sophia Antipolis CEDEX, France | ÉS-Géothermie, 26 Boulevard du Président Wilson, F-67000 Strasbourg, France | Centre Observation, Impacts, Energie (O.I.E.), MINES ParisTech, PSL University, 06904 Sophia Antipolis CEDEX, France | Centre Observation, Impacts, Energie (O.I.E.), MINES ParisTech, PSL University, 06904 Sophia Antipolis CEDEX, France | Centre Observation, Impacts, Energie (O.I.E.), MINES ParisTech, PSL University, 06904 Sophia Antipolis CEDEX, France",Agence de l'Environnement et de la Ma?trise de l'Energie; Horizon 2020 Framework Programme,"Life cycle assessments (LCAs) quantify environmental impacts of systems and support decision-making processes. LCAs are however time-consuming and difficult to conduct for nonexperts, thus calling for simplified approaches for multicriteria environmental assessments. In this paper, a five-step protocol is presented to generate simplified arithmetic equations from a reference parametrized LCA model of an energy system and its application illustrated for an enhanced geothermal system for heat generation with very low direct emissions in continental Europe. The simplified models estimate seven environmental impacts (climate change, freshwater ecotoxicity, human health, minerals and metals, and fossil resources depletion, and acidification) based on six technological parameters: number of injection and production wells, power of the production and injection pump, average well length, thermal power output, and eight background parameters defining the European electricity mix. A global sensitivity analysis identified these parameters as influencing the variance of the environmental impacts the most. Ensuring the representativeness of the reference LCA model and the validity of the simplified models requires thorough assessment. This protocol allows to develop relevant alternatives to detailed LCAs for quick and multicriteria environmental impact assessments of energy systems, showing that LCAs can be simplified to system-specific equations based on few, easily quantified, parameters.",2021,https://doi.org/10.1021/acs.est.0c06751,LCA,LCA (Error)
