company,study_count,classification,top_chemicals,description,wiki_url
"Research Grants Council, University Grants Committee",327,University,carbon (30);nitrogen (23);hydroxyl (22);Oxygen (22);Cl (20),,
Central University Basic Research Fund of China,125,University,O (29);carbon (12);N2 (12);H2O2 (11);atomic hydrogen (11),,
Instituto de Salud Carlos III,109,University,PCB (3);glutathione (3);PFAS (3);phthalates (3);BDE-47 (2),"The Carlos III Health Institute is a Spanish public health research institute, legally constituted as a public research agency, a type of quasi-autonomous entity under Spanish law. The ISCIII is integrated in the Department of Science and Innovation, although it also reports to the Department of Health in the institute's activities relating health, healthcare and its planning.",https://en.wikipedia.org/wiki/Carlos_III_Health_Institute
University of Queensland,45,University,ammonium (13);nitrite (12);nitrogen (10);ammonia (8);oxygen (6),"The University of Queensland is a public research university located primarily in Brisbane, the capital city of the Australian state of Queensland. Founded in 1909 by the Queensland parliament, UQ is one of the six sandstone universities, an informal designation of the oldest university in each state. UQ is also a founding member of edX, Australia's leading Group of Eight and the international research-intensive Association of Pacific Rim Universities.",https://en.wikipedia.org/wiki/University_of_Queensland
Nanjing University,35,University,nitrogen (7);oxygen (5);carbon (5);NH (4);OH(-) (3),"Nanjing University (NJU) is a public university in Nanjing and Suzhou, Jiangsu, China. It is affiliated and sponsored by the Ministry of Education. The university is part of Project 211, Project 985, and the Double First-Class Construction. The university is a member of the C9 League.",https://en.wikipedia.org/wiki/Nanjing_University
Tsinghua University,33,University,CO2 (11);carbon (9);hydrogen (4);hydroxyl (4);ozone (4),"Tsinghua University is a public research university in Haidian, Beijing, China. It is affiliated with and funded by the Ministry of Education of China. The university is part of the Double First-Class Construction, and was a part of its predecessor initiatives: Project 211 and Project 985. It is also a member of the C9 League.",https://en.wikipedia.org/wiki/Tsinghua_University
"Research Grants Council, University Grants Committee, Hong Kong",30,University,H2O2 (3);oxygen (3);carbon (3);sulfate (3);Al2O3 (2),,
King Abdullah University of Science and Technology,30,University,oxygen (7);carbon (6);CH4 (4);DMS (4);H2 (3),"The King Abdullah University of Science and Technology is a public research university located in Thuwal, Saudi Arabia. Founded in 2009, the university provides research and graduate training programs in English as the official language of instruction. It is named after King Abdullah bin Abdulaziz, the ruler of Saudi Arabia from 2005 until 2015.",https://en.wikipedia.org/wiki/King_Abdullah_University_of_Science_and_Technology
"State Key Laboratory of Urban Water Resource and Environment, Harbin Institute of Technology",30,University,CH4 (8);carbon (6);nitrogen (6);oxygen (5);•OH (5),,
Carnegie Mellon University,26,University,CO2 (10);coal (7);carbon (7);SO2 (5);gasoline (4),"Carnegie Mellon University (CMU) is a private research university in Pittsburgh, Pennsylvania, United States. The institution was established in 1900 by Andrew Carnegie as the Carnegie Technical Schools. In 1912, it became the Carnegie Institute of Technology and began granting four-year degrees. In 1967, it became Carnegie Mellon University through its merger with the Mellon Institute of Industrial Research, founded in 1913 by Andrew Mellon and Richard B. Mellon and formerly a part of the University of Pittsburgh.",https://en.wikipedia.org/wiki/Carnegie_Mellon_University
National University of Singapore,24,University,Carbon (5);polydopamine (3);PES (2);poly(ether sulfone) (2);Na2SO4 (2),The National University of Singapore (NUS) is a national public research university in Singapore. It was officially established in 1980 through the government-directed merger of the public University of Singapore and the private Nanyang University.,https://en.wikipedia.org/wiki/National_University_of_Singapore
"Brook Byers Institute for Sustainable Systems, Georgia Institute of Technology",22,University,oxygen (8);Cl (5);hydroxyl (4);NO (4);TiO2 (4),,
Sun Yat-sen University,22,University,oxygen (6);CH3SH (4);N (4);O3 (4);CO2 (3),"Sun Yat-sen University is a public university in Guangzhou, Guangdong, China. It is affiliated with the Ministry of Education and co-funded by the Ministry of Education, SASTIND, and Guangdong Provincial People's Government. As one of the top universities in China, it is part of Project 211, Project 985, and the Double First-Class Construction.",https://en.wikipedia.org/wiki/Sun_Yat-sen_University
City University of Hong Kong,22,University,oxygen (4);SDS (3);Nitrate (3);carbon (3);hydroxyl (3),"The City University of Hong Kong (CityUHK) is a public university in Kowloon Tong, Kowloon, Hong Kong. It was founded in 1984 as the City Polytechnic of Hong Kong and formally established as the City University of Hong Kong in 1994.",https://en.wikipedia.org/wiki/City_University_of_Hong_Kong
Hong Kong Polytechnic University,21,University,O3 (5);NO2 (4);hydrocarbons (4);peroxy (4);aromatic hydrocarbons (3),"The Hong Kong Polytechnic University is a public university in Hung Hom, Kowloon, Hong Kong. The university is one of the eight government-funded degree-granting tertiary institutions in Hong Kong. Founded in 1937 as the first Government Trade School, it is the first institution to provide technical education in Hong Kong. In 1994, the Legislative Council of Hong Kong passed a bill which granted the former Hong Kong Polytechnic official university status.",https://en.wikipedia.org/wiki/Hong_Kong_Polytechnic_University
University of Hong Kong,21,University,polyamide (6);SDZ (3);carbon (3);sulfonamide (3);NaCl (2),"The University of Hong Kong (HKU) is a public university in Pokfulam, Hong Kong. It was founded in 1887 as the Hong Kong College of Medicine for Chinese by the London Missionary Society and formally established as the University of Hong Kong in 1911. It is the oldest tertiary institution in Hong Kong.",https://en.wikipedia.org/wiki/University_of_Hong_Kong
Collaborative Innovation Center for Regional Environmental Quality,21,University,OH (4);carbon (4);hydrogen (4);polybrominated diphenyl ethers (3);ozone (3),,
University of Michigan,21,University,carbon (6);CO2 (3);N (3);microcystin (3);Cl2 (3),"The University of Michigan is a public research university in Ann Arbor, Michigan, United States. It was founded in 1817 and is the oldest institution of higher education in the state. It is also one of the earliest American research universities and is a founding member of the Association of American Universities.",https://en.wikipedia.org/wiki/University_of_Michigan
Nanyang Technological University,21,University,carbon (4);1-octanol (3);S (2);hydrocarbon (2);phenolic (2),"Nanyang Technological University (NTU) is a national public research university in Singapore. Founded in 1981, it is also the second oldest autonomous university in the country.",https://en.wikipedia.org/wiki/Nanyang_Technological_University
Massachusetts Institute of Technology,20,University,carbon (3);Ozone (3);Mg2+ (3);lithium (3);iron (2)," 
The Massachusetts Institute of Technology (MIT) is a private research university in Cambridge, Massachusetts, United States. Founded in 1861 to advance ""useful knowledge"", the university has played a significant role in the development of many areas of technology and science.",https://en.wikipedia.org/wiki/Massachusetts_Institute_of_Technology
University of Alberta,18,University,carbon (5);naphthenic acids (3);NAs (3);mercury (3);methane (2),"The University of Alberta is a public research university located in Edmonton, Alberta, Canada. It was founded in 1908 by Alexander Cameron Rutherford, the first premier of Alberta, and Henry Marshall Tory, the university's first president. It was enabled through the Post-secondary Learning Act. The university is considered a ""comprehensive academic and research university"" (CARU), which means that it offers a range of academic and professional programs that generally lead to undergraduate and graduate level credentials.",https://en.wikipedia.org/wiki/University_of_Alberta
"University of California, Riverside",18,University,oxygen (5);H (4);F (3);fluoroalkyl (3);carbon (3),"The University of California, Riverside is a public land-grant research university in Riverside, California, United States. It is one of the ten campuses of the University of California system. The main campus sits on 1,900 acres (769 ha) in a suburban district of Riverside with a branch campus of 20 acres (8 ha) in Palm Desert. In 1907, the predecessor to UCR was founded as the UC Citrus Experiment Station, which conducted research in biological pest control and the use of growth regulators.",https://en.wikipedia.org/wiki/University_of_California%2C_Riverside
University of New South Wales,16,University,carbon (6);O (4);Ca(2+) (3);Fe (3);Fe(2+) (3),"The University of New South Wales (UNSW) is a public research university based in Sydney, New South Wales, Australia. It was established in 1949.",https://en.wikipedia.org/wiki/University_of_New_South_Wales
Stanford University,16,University,CO2 (4);carbon (4);Cl2 (4);nitrogen (3);Cr (2),"Leland Stanford Junior University, commonly referred to as Stanford University, is a private research university in Stanford, California, United States. It was founded in 1885 by railroad magnate Leland Stanford and his wife, Jane, in memory of their only child, Leland Jr.",https://en.wikipedia.org/wiki/Stanford_University
Peking University,16,University,Ammonia (4);carbon (4);methane (3);N (3);oxygen (2),"Peking University (PKU) is a public university in Haidian, Beijing, China. It is affiliated with and funded by the Ministry of Education. The university is part of Project 211, Project 985, and the Double First-Class Construction. It is also a member in the C9 League.",https://en.wikipedia.org/wiki/Peking_University
Nankai University,16,University,alkyl (6);polyfluoroalkyl (4);PFAS (3);perfluoroalkyl (3);organophosphorus (3),"Nankai University is a public university in Tianjin, China. It is affiliated with the Ministry of Education of China. The university is part of Project 211, Project 985, and the Double First-Class Construction.",https://en.wikipedia.org/wiki/Nankai_University
Pennsylvania State University,15,University,carbon (4);NaCl (3);Cl (3);Na (3);iron (2),"The Pennsylvania State University is a public state-related land-grant research university with campuses and facilities throughout Pennsylvania, United States. Founded in 1855 as the Farmers' High School of Pennsylvania, Penn State was named the state's first land-grant university eight years later. Its primary campus, known as Penn State University Park, is located in State College and College Township in Centre County.",https://en.wikipedia.org/wiki/Pennsylvania_State_University
Washington University in St. Louis,15,University,PbO2 (3);chlorine (3);CO (2);Mn (2);Mn(2+) (2),"Washington University in St. Louis (WashU) is a private research university in the St. Louis metropolitan area, Missouri, United States. Founded in 1853 by a group of civic leaders and named for the first U.S. President George Washington, the university spans 355 acres across its Danforth and Medical campuses. It comprises 10 schools and offers more than 150 undergraduate, 80 master's and professional, and 50 doctoral degree programs. As of 2024, Washington University enrolled 16,399 students representing all 50 U.S. states and more than 110 countries.",https://en.wikipedia.org/wiki/Washington_University_in_St._Louis
Shanghai Jiao Tong University,15,University,O2 (6);nitrogen (5);Pt (4);H2 (4);H2O2 (4),"Shanghai Jiao Tong University (SJTU) is a public university in Shanghai, China. It is affiliated with the Ministry of Education of China. The university is part of Project 211, Project 985, and the Double First-Class Construction. It is a member of the C9 League.",https://en.wikipedia.org/wiki/Shanghai_Jiao_Tong_University
