company,study_count,classification,top_chemicals,description,wiki_url
National Key Research and Development Program of China,450,Unknown,oxygen (85);carbon (70);DMS (58);nitrogen (57);CH (53),,
"Division of Chemical, Bioengineering, Environmental, and Transport Systems",352,Unknown,SA (315);carbon (68);chlorine (43);SH (42);oxygen (35),,
Fundamental Research Funds for the Central Universities,168,Unknown,oxygen (43);carbon (34);iron (25);hydroxyl (20);nitrogen (20),,
Youth Innovation Promotion Association of the Chinese Academy of Sciences,151,Unknown,oxygen (29);N (20);mercury (19);carbon (19);O3 (12),,
Division of Chemistry,149,Unknown,carbon (26);oxygen (24);hydroxyl (22);carboxyl (18);SH (17),,
Deutsche Forschungsgemeinschaft,132,Unknown,carbon (28);iron (27);oxygen (19);oxides (14);Fe(II) (13),"The German Research Foundation is a German research funding organization, which functions as a self-governing institution for the promotion of science and research in the Federal Republic of Germany. In 2019, the DFG had a funding budget of €3.3 billion.",https://en.wikipedia.org/wiki/German_Research_Foundation
Division of Atmospheric and Geospace Sciences,112,Unknown,carbon (25);OH (23);Isoprene (18);sulfate (15);DMS (15),,
Division of Graduate Education,106,Unknown,carbon (23);nitrate (10);N (9);chlorine (8);oxygen (7),,
Division of Engineering Education and Centers,99,Unknown,carbon (21);oxygen (16);chlorine (14);palladium (11);nitrate (10),,
H2020 Marie Sklodowska-Curie Actions,92,Unknown,SH (16);oxygen (13);carbon (11);Hg (9);hydrocarbon (9),,
Svenska Forskningsrådet Formas,90,Unknown,alkyl (30);polyfluoroalkyl (21);perfluoroalkyl (19);carbon (14);PFAA (12),,
U.S. Geological Survey,86,Unknown,Hg (18);methylmercury (15);MeHg (14);carbon (14);NO3 (10),"The United States Geological Survey (USGS), founded as the Geological Survey, is an agency of the United States Department of the Interior whose work spans the disciplines of biology, geography, geology, and hydrology. The agency was founded on March 3, 1879, to study the landscape of the United States, its natural resources, and the natural hazards that threaten it. The agency also makes maps of planets and moons, based on data from U.S. space probes.",https://en.wikipedia.org/wiki/United_States_Geological_Survey
Bundesministerium für Bildung und Forschung,85,Unknown,carbon (16);polystyrene (9);polyethylene (9);H (6);iron (5),"The Federal Ministry of Research, Technology and Space is a cabinet-level ministry of Germany. It is headquartered in Bonn, with an office in Berlin. The Ministry provides funding for research projects and institutions.",https://en.wikipedia.org/wiki/Federal_Ministry_of_Research%2C_Technology_and_Space
Canada Research Chairs,79,Unknown,carbon (11);Hg (8);Cd (7);iron (7);nitrogen (6),Canada Research Chair (CRC) is a title given to certain Canadian university research professors by the Canada Research Chairs Program.,https://en.wikipedia.org/wiki/Canada_Research_Chair
Guangdong Province,79,Unknown,oxygen (13);carbon (12);SO4 (7);As(V) (6);Fe (6),"Guangdong is a coastal province in South China, on the north shore of the South China Sea with Guangzhou as the capital. With a population of 128.590 million across a total area of about 179,800 km2 (69,400 sq mi), Guangdong is the Chinese province with the largest GDP, the largest population and the 15th-largest by area, as well as the third-most populous country subdivision and the 5th largest country subdivision by GDP in the world.",https://en.wikipedia.org/wiki/Guangdong
Basic Energy Sciences,77,Unknown,carbon (14);ferrous iron (14);iron (13);Fe(III) (10);CO2 (10),,
State Administration of Foreign Experts Affairs,76,Unknown,SA (71);e (71);oxygen (22);carbon (15);Fe(II) (9),"The State Administration of Foreign Experts Affairs is an external name used by China's Ministry of Human Resources and Social Security. SAFEA was previously its own agency of the government of the People's Republic of China (PRC) that operated under the State Council and the Ministry of Human Resources and Social Security. It was responsible for recruiting foreign experts outside of mainland China - including Taiwan and the special administrative regions - for work in the PRC, and managing the training of Chinese nationals outside of the PRC. It was headquartered in Zhongguancun, Haidian District, Beijing.",https://en.wikipedia.org/wiki/State_Administration_of_Foreign_Experts_Affairs
Division of Earth Sciences,75,Unknown,Fe (15);carbon (14);oxygen (12);CO2 (10);Fe(II (9),,
Vetenskapsrådet,74,Unknown,carbon (14);Hg (10);Fe (8);DMS (7);goethite (6),"The Swedish Research Council is a Government agency in Sweden established in 2001, with the responsibility to support and develop basic scientific research. Its objective is for Sweden to be a leading nation in scientific research. The agency has three main functions:To distribute government funding for basic research
To advise the government on issues related to scientific research
To communicate science and scientific research to the general public",https://en.wikipedia.org/wiki/Swedish_Research_Council
National Oceanic and Atmospheric Administration,71,Unknown,PC (15);O3 (12);nitrogen (11);carbon (10);nitrogen oxide (7),"The National Oceanic and Atmospheric Administration is a United States scientific and regulatory agency tasked with forecasting weather, monitoring oceanic and atmospheric conditions, charting the seas, conducting deep-sea exploration, and managing fishing and protection of marine mammals and endangered species in the US exclusive economic zone. The agency is part of the United States Department of Commerce and is headquartered in Silver Spring, Maryland.",https://en.wikipedia.org/wiki/National_Oceanic_and_Atmospheric_Administration
European Regional Development Fund,68,Unknown,carbon (13);CO2 (8);CO (4);hydrogen (4);carboxyl (4),"The European Regional Development Fund (ERDF) is one of the European Structural and Investment Funds allocated by the European Union. Its purpose is to transfer money from richer regions, and invest it in the infrastructure and services of underdeveloped regions. This will allow those regions to start attracting private sector investments, and create jobs on their own.",https://en.wikipedia.org/wiki/European_Regional_Development_Fund
Norges Forskningsråd,66,Unknown,alkyl (13);PFOS (9);perfluoroalkyl (9);carbon (8);carboxyl (8),,
Division of Ocean Sciences,62,Unknown,mercury (10);Hg(0) (10);Hg (9);oxygen (9);carbon (9),,
Higher Education Discipline Innovation Project,60,Unknown,oxygen (15);carbon (13);nitrogen (10);nitrates (7);iron (7),,
Environment and Climate Change Canada,58,Unknown,alkyl (10);carbon (7);mercury (7);hydrocarbon (7);carbons (6),"Environment and Climate Change Canada is the department of the Government of Canada responsible for coordinating environmental policies and programs, as well as preserving and enhancing the natural environment and renewable resources. It is also colloquially known by its former name, Environment Canada.",https://en.wikipedia.org/wiki/Environment_and_Climate_Change_Canada
"Science, Technology and Innovation Commission of Shenzhen Municipality",54,Unknown,oxygen (12);ozone (7);carbon (5);Cu (5);N (5),,
Strategic Environmental Research and Development Program,48,Unknown,fluoroalkyl (36);polyfluoroalkyl (30);carbon (15);perfluoroalkyl (15);sulfonate (13),,
State Key Laboratory of Urban Water Resource and Environment,47,Unknown,N (11);oxygen (9);methane (7);carbon (7);peroxymonosulfate (7),,
Division of Environmental Biology,43,Unknown,carbon (11);nitrogen (7);CO2 (7);manganese (6);Mn(III) (5),,
Nederlandse Organisatie voor Wetenschappelijk Onderzoek,41,Unknown,carbon (5);oxygen (5);Fe (4);methane (4);CO2 (4),"The Dutch Research Council is the national research council of the Netherlands. NWO funds scientific research at Dutch universities and research institutes through grants and research programs. NWO is an independent administrative body operating under the responsibility of the Dutch Ministry of Education, Culture and Science.",https://en.wikipedia.org/wiki/Dutch_Research_Council
Division of Biological Infrastructure,39,Unknown,carbon (7);Cu (7);mercury (5);N (5);CuO (5),,
Fonds Wetenschappelijk Onderzoek,37,Unknown,arsenic (4);chlorpyrifos (4);Cu (4);perfluorooctane sulfonate (4);oxygen (3),,
